ensgene,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000004534,10180,RBM6,3,49940007,50100045,1,protein_coding,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004660,84254,CAMKK1,17,3860315,3894891,-1,protein_coding,"calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:HGNC:1469]"
ENSG00000004700,5965,RECQL,12,21468911,21501669,-1,protein_coding,RecQ helicase-like [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004766,55610,VPS50,7,93232340,93361121,1,protein_coding,VPS50 EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004776,126393,HSPB6,19,35754568,35758079,-1,protein_coding,"heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:HGNC:26511]"
ENSG00000004777,115703,ARHGAP33,19,35774532,35788822,1,protein_coding,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]
ENSG00000004779,4706,NDUFAB1,16,23581002,23596356,-1,protein_coding,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]"
ENSG00000004799,5166,PDK4,7,95583499,95596491,-1,protein_coding,"pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
ENSG00000004809,85413,SLC22A16,6,110424687,110476641,-1,protein_coding,"solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
ENSG00000004838,51364,ZMYND10,3,50341110,50346852,-1,protein_coding,"zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
ENSG00000004846,340273,ABCB5,7,20615207,20777038,1,protein_coding,"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:HGNC:46]"
ENSG00000004848,170302,ARX,X,25003694,25015948,-1,protein_coding,aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]
ENSG00000004864,10165,SLC25A13,7,96120220,96322147,-1,protein_coding,"solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]"
ENSG00000004866,7982,ST7,7,116953238,117230103,1,protein_coding,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]
ENSG00000004866,93655,ST7,7,116953238,117230103,1,protein_coding,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]
ENSG00000004897,996,CDC27,17,47117703,47189422,-1,protein_coding,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENSG00000004939,6521,SLC4A1,17,44248385,44268141,-1,protein_coding,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]"
ENSG00000004948,799,CALCR,7,93424487,93574730,-1,protein_coding,calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]
ENSG00000004961,3052,HCCS,X,11111301,11123078,1,protein_coding,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]
ENSG00000004975,1856,DVL2,17,7225341,7234545,-1,protein_coding,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005001,64063,PRSS22,16,2852727,2858170,-1,protein_coding,"protease, serine, 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
ENSG00000005007,5976,UPF1,19,18831938,18868236,1,protein_coding,UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005020,8935,SKAP2,7,26667062,26995239,-1,protein_coding,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
ENSG00000005022,292,SLC25A5,X,119468400,119471319,1,protein_coding,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:HGNC:10991]"
ENSG00000005059,55013,CCDC109B,4,109560205,109688726,1,protein_coding,coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]
ENSG00000005073,3207,HOXA11,7,27181510,27185223,-1,protein_coding,homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]
ENSG00000005075,5439,POLR2J,7,102473118,102478907,-1,protein_coding,"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:HGNC:9197]"
ENSG00000005100,56919,DHX33,17,5440912,5469060,-1,protein_coding,DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:HGNC:16718]
ENSG00000005102,4222,MEOX1,17,43640388,43661954,-1,protein_coding,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]
ENSG00000005108,221981,THSD7A,7,11370357,11832198,-1,protein_coding,"thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
ENSG00000005156,3980,LIG3,17,34980494,35009743,1,protein_coding,"ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:HGNC:6600]"
ENSG00000005175,79657,RPAP3,12,47661249,47706061,-1,protein_coding,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005187,6296,ACSM3,16,20610243,20797581,1,protein_coding,acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]
ENSG00000005189,81691,AC004381.6,16,20806429,20849668,1,protein_coding,Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
ENSG00000005194,57019,CIAPIN1,16,57428169,57447528,-1,protein_coding,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]
ENSG00000005206,56928,SPPL2B,19,2328615,2354806,1,protein_coding,signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
ENSG00000005238,80256,FAM214B,9,35104112,35116341,-1,protein_coding,"family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:HGNC:25666]"
ENSG00000005243,51226,COPZ2,17,48026167,48038030,-1,protein_coding,"coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
ENSG00000005249,5577,PRKAR2B,7,107044649,107161811,1,protein_coding,"protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]"
ENSG00000005302,10943,MSL3,X,11758159,11775753,1,protein_coding,male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370]
ENSG00000005339,1387,CREBBP,16,3725054,3880726,-1,protein_coding,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
ENSG00000005379,9256,BZRAP1,17,58301228,58328760,-1,protein_coding,benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000005381,4353,MPO,17,58269856,58280935,-1,protein_coding,myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]
ENSG00000005421,5444,PON1,7,95297676,95324707,-1,protein_coding,paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]
ENSG00000005436,6936,GCFC2,2,75652000,75710989,-1,protein_coding,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]
ENSG00000005448,84058,WDR54,2,74421678,74425755,1,protein_coding,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000005469,54677,CROT,7,87345681,87399795,1,protein_coding,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000005471,5244,ABCB4,7,87401697,87480435,-1,protein_coding,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:HGNC:45]"
ENSG00000005483,55904,KMT2E,7,105014179,105114361,1,protein_coding,lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]
ENSG00000005486,57414,RHBDD2,7,75842602,75888926,1,protein_coding,rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]
ENSG00000005513,30812,SOX8,16,981808,986979,1,protein_coding,SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]
ENSG00000005700,25998,IBTK,6,82169983,82247754,-1,protein_coding,inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]
ENSG00000005801,7748,ZNF195,11,3339261,3379222,-1,protein_coding,zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
ENSG00000005810,23077,MYCBP2,13,77044655,77327050,-1,protein_coding,"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]"
ENSG00000005812,26224,FBXL3,13,76992598,77027195,-1,protein_coding,F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
ENSG00000005844,3683,ITGAL,16,30472658,30523185,1,protein_coding,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6148]"
ENSG00000005882,5164,PDK2,17,50094737,50112152,1,protein_coding,"pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
ENSG00000005884,3675,ITGA3,17,50055968,50090481,1,protein_coding,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]"
ENSG00000005889,7543,ZFX,X,24149173,24216255,1,protein_coding,"zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"
ENSG00000005893,3920,LAMP2,X,120427827,120469365,-1,protein_coding,lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
ENSG00000005961,3674,ITGA2B,17,44372180,44389505,-1,protein_coding,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:HGNC:6138]"
ENSG00000005981,51666,ASB4,7,95478444,95540232,1,protein_coding,ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]
ENSG00000006007,51573,GDE1,16,19501689,19522145,-1,protein_coding,glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]
ENSG00000006015,55049,C19orf60,19,18588685,18592336,1,protein_coding,chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:26098]
ENSG00000006016,9244,CRLF1,19,18572220,18607741,-1,protein_coding,cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]
ENSG00000006025,114881,OSBPL7,17,47807372,47821834,-1,protein_coding,oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:HGNC:16387]
ENSG00000006042,26022,TMEM98,17,32927910,32945106,1,protein_coding,transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]
ENSG00000006047,51087,YBX2,17,7288252,7294615,-1,protein_coding,Y box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006059,3883,KRT33A,17,41346092,41350812,-1,protein_coding,"keratin 33A, type I [Source:HGNC Symbol;Acc:HGNC:6450]"
ENSG00000006062,9020,MAP3K14,17,45263121,45317040,-1,protein_coding,mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]
ENSG00000006071,6833,ABCC8,11,17392885,17476845,-1,protein_coding,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
ENSG00000006116,10368,CACNG3,16,24255553,24362801,1,protein_coding,"calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:HGNC:1407]"
ENSG00000006118,54972,TMEM132A,11,60924463,60937159,1,protein_coding,transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENSG00000006125,163,AP2B1,17,35578046,35726409,1,protein_coding,"adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]"
ENSG00000006128,6863,TAC1,7,97731908,97740472,1,protein_coding,"tachykinin, precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]"
ENSG00000006194,10127,ZNF263,16,3263800,3301401,1,protein_coding,zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]
ENSG00000006210,6376,CX3CL1,16,57372458,57385048,1,protein_coding,chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENSG00000006282,64847,SPATA20,17,50543058,50555852,1,protein_coding,spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]
ENSG00000006283,8913,CACNA1G,17,50561068,50627474,1,protein_coding,"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:HGNC:1394]"
ENSG00000006327,51330,TNFRSF12A,16,3018445,3022383,1,protein_coding,"tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
ENSG00000006377,1750,DLX6,7,97005548,97011039,1,protein_coding,distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]
ENSG00000006432,4293,MAP3K9,14,70722526,70809534,-1,protein_coding,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
ENSG00000006451,5898,RALA,7,39623483,39708124,1,protein_coding,v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:HGNC:9839]
ENSG00000006453,55971,BAIAP2L1,7,98291651,98401068,-1,protein_coding,BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
ENSG00000006459,80853,KDM7A,7,140084746,140177035,-1,protein_coding,lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006468,2115,ETV1,7,13891228,13991425,-1,protein_coding,ets variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]
ENSG00000006530,55750,AGK,7,141551189,141655244,1,protein_coding,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]
ENSG00000006534,221,ALDH3B1,11,68008578,68029282,1,protein_coding,"aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
ENSG00000006555,55001,TTC22,1,54779712,54801267,-1,protein_coding,tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]
ENSG00000006576,57157,PHTF2,7,77798792,77957503,1,protein_coding,putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006606,10344,CCL26,7,75769533,75789896,-1,protein_coding,chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]
ENSG00000006607,9855,FARP2,2,241356243,241494841,1,protein_coding,"FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"
ENSG00000006611,10083,USH1C,11,17493895,17544416,-1,protein_coding,Usher syndrome 1C [Source:HGNC Symbol;Acc:HGNC:12597]
ENSG00000006625,79017,GGCT,7,30496621,30504844,-1,protein_coding,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
ENSG00000006634,10926,DBF4,7,87876216,87909541,1,protein_coding,DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]
ENSG00000006638,6915,TBXA2R,19,3594506,3606840,-1,protein_coding,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
ENSG00000006652,3475,IFRD1,7,112422968,112481017,1,protein_coding,interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
ENSG00000006659,56891,LGALS14,19,39704306,39709444,1,protein_coding,"lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:HGNC:30054]"
ENSG00000006695,1352,COX10,17,14069496,14208677,1,protein_coding,COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]
ENSG00000006704,9569,GTF2IRD1,7,74453790,74602604,1,protein_coding,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
ENSG00000006712,54623,PAF1,19,39385852,39391195,-1,protein_coding,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"
ENSG00000006715,27072,VPS41,7,38722963,38932394,-1,protein_coding,vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:12713]
ENSG00000006740,9912,ARHGAP44,17,12789539,12991643,1,protein_coding,Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]
ENSG00000006744,60528,ELAC2,17,12992391,13018187,-1,protein_coding,elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]
ENSG00000006747,85477,SCIN,7,12570577,12660179,1,protein_coding,scinderin [Source:HGNC Symbol;Acc:HGNC:21695]
ENSG00000006756,414,ARSD,X,2903970,2929351,-1,protein_coding,arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]
ENSG00000006757,8228,PNPLA4,X,7898247,7927739,-1,protein_coding,patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]
ENSG00000006788,8735,MYH13,17,10298084,10373130,-1,protein_coding,"myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:7571]"
ENSG00000006831,79602,ADIPOR2,12,1688574,1788678,1,protein_coding,adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]
ENSG00000006837,51265,CDKL3,5,134286350,134371047,-1,protein_coding,cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:HGNC:15483]
ENSG00000007001,151531,UPP2,2,157876702,158136154,1,protein_coding,uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]
ENSG00000007038,10942,PRSS21,16,2817180,2826304,1,protein_coding,"protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:HGNC:9485]"
ENSG00000007047,57787,MARK4,19,45079288,45305283,1,protein_coding,MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]
ENSG00000007062,8842,PROM1,4,15963076,16084378,-1,protein_coding,prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ENSG00000007080,115098,CCDC124,19,17933016,17943991,1,protein_coding,coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]
ENSG00000007129,90273,CEACAM21,19,41549518,41586844,1,protein_coding,carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]
ENSG00000007168,5048,PAFAH1B1,17,2593210,2685615,1,protein_coding,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]"
ENSG00000007171,4843,NOS2,17,27756766,27800499,-1,protein_coding,"nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:HGNC:7873]"
ENSG00000007174,1770,DNAH9,17,11598431,11969748,1,protein_coding,"dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]"
